track_id,chords
565,"N 0.0s, E:maj 3.6s, A:maj 3.2s, E:maj 3.6s, A:maj 3.5s, E:maj 3.5s, A:maj 3.3s, E:maj 3.6s, A:maj 3.1s, E:maj 3.9s, A:maj 3.4s, E:maj 3.5s, A:maj 3.5s, E:maj 3.6s, A:maj 0.4s, D:maj 3.0s, E:maj 3.5s, A:maj 3.5s, E:maj 3.5s, A:maj 0.9s"
566,"N 0.0s, C:maj 3.3s, D:min7 3.2s, C:min/b3 2.1s, F:maj/5 3.4s, C:maj 3.2s, F:maj/5 2.6s, C:maj 9.6s, F:maj/5 2.6s, C:min 3.0s, F:maj/5 3.0s, C:maj7 3.2s, C:maj 3.2s, C:min7 2.6s, F:maj/5 3.0s, C:maj 3.3s, F:maj/5 2.7s, C:min 6.0s"
567,"N 0.0s, Bb:maj 2.1s, N 5.1s, Bb:maj 27.8s, Eb:maj 1.0s, Bb:maj 7.3s, Eb:maj 0.8s, Bb:maj 7.1s, Eb:maj 0.9s, Bb:maj 8.0s"
569,"N 0.0s, E:maj 2.2s, B:maj 0.9s, F#:maj 2.0s, B:maj 0.5s, E:maj 1.4s, F#:maj 5.5s, E:maj 1.4s, F#:maj 1.7s, B:maj 0.4s, E:maj 0.5s, F#:maj 2.6s, B:maj 0.5s, E:maj 0.4s, F#:maj 40.0s"
570,"N 28.0s, A:maj 5.3s, D:maj 0.8s, A:maj 25.0s, D:maj 1.0s"
571,"N 0.0s, F#:maj 7.0s, F:maj 4.0s, F#:maj 16.5s, Ab:maj 0.7s, F#:maj 16.8s, A:maj 1.1s, F#:maj 7.9s, F:maj 5.2s, F#:maj 0.9s"
572,"N 5.6s, E:maj 2.5s, A:maj 1.1s, E:maj 2.0s, D:maj 0.8s, A:maj 0.7s, E:maj 2.1s, D:maj 0.6s, A:maj 0.9s, E:maj 2.2s, D:maj 0.9s, E:maj 3.6s, A:maj 0.7s, E:maj 2.1s, D:maj 0.9s, A:maj 0.7s, E:maj 3.1s, A:maj 0.7s, E:maj 5.9s, D:maj 0.8s, A:maj 0.8s, E:maj 2.1s, D:maj 0.9s, A:maj 0.8s, E:maj 2.1s, A:maj 1.4s, E:maj 13.4s, D:maj 0.4s"
573,"N 0.1s, G:maj 1.6s, Eb:maj 1.8s, G:maj 1.5s, Eb:maj 1.7s, G:min 1.6s, Eb:maj 1.9s, G:min 1.4s, Eb:maj 1.6s, G:min 1.6s, Eb:maj 1.5s, G:min 1.4s, Eb:maj 1.6s, G:min 1.4s, Eb:maj 1.5s, G:min 1.4s, Eb:maj 1.5s, G:min 1.5s, Eb:maj 1.5s, G:min 1.4s, Eb:maj 1.5s, G:min 1.4s, Eb:maj 1.5s, D:min 1.4s, A:maj 1.4s, G:maj 1.5s, Bb:maj 1.4s, G:min 1.5s, Eb:maj 1.3s, G:min 1.4s, Bb:maj 1.4s, D:maj 1.3s, A:maj 1.4s, G:min 1.4s, Bb:maj 1.4s, G:min 1.4s, Eb:maj 1.4s, G:min 1.4s, Bb:maj 1.4s, D:maj 1.4s, A:maj 1.4s, G:maj 0.8s"
574,"N 8.9s, Ab:maj 7.8s, F#:maj 0.7s, B:maj 2.1s, A:maj 2.0s, Ab:maj 8.4s, B:maj 2.1s, A:maj 2.1s, Ab:maj 8.4s, B:maj 2.2s, A:maj 2.0s, Ab:maj 10.4s, B:maj 2.1s, C#:min 1.0s"
579,"N 5.3s, E:maj 1.3s, A:maj 2.6s, E:maj 2.9s, A:maj 2.7s, E:maj 2.8s, A:maj 2.4s, E:maj 3.3s, A:maj 2.5s, E:maj 2.9s, A:maj 2.5s, E:maj 3.0s, A:maj 2.5s, E:maj 1.7s, A:maj 5.5s, E:maj 1.2s, A:maj 2.7s, E:maj 2.8s, A:maj 2.8s, E:maj 2.9s, A:maj 2.6s, E:maj 1.0s"
580,"N 17.1s, A:min 14.2s, C:maj 1.0s, G:maj 0.5s, A:maj 1.6s, C:maj 1.1s, G:maj 0.5s, A:maj 1.6s, C:maj 1.1s, G:maj 0.5s, A:maj 1.6s, C:maj 1.0s, G:maj 0.6s, A:maj 2.1s, G:maj 0.4s, C:maj 0.7s, G:maj 0.9s, E:maj 4.6s, D:maj 1.6s, G:maj 1.6s, A:maj 1.5s, E:min 1.7s, D:maj 1.5s, G:maj 1.0s"
608,"N 3.0s, D:min 7.2s, D:maj 14.4s, N 9.1s, D:maj 26.4s"
610,"N 1.2s, Bb:maj 18.8s, G:min 7.1s, Eb:maj 2.4s, F:maj 0.5s, G:min 0.6s, D:min 1.1s, Eb:maj 3.0s, D:maj 1.7s, Bb:maj 0.6s, Eb:maj 3.0s, D:maj 1.7s, Eb:maj 3.0s, D:maj 0.6s, C:min 0.5s, G:min 3.0s, Eb:maj 5.2s, Eb:maj7 3.9s, Bb:maj 2.0s"
611,"N 0.9s, C:maj 8.8s, G:maj 5.5s, C:maj 13.9s, G:maj 5.8s, C:maj 7.8s, C:maj/3 1.4s, A:min 5.2s, C:maj 10.5s"
612,"N 17.2s, G:maj 19.9s, E:min/b3 2.5s, G:maj 13.7s, E:min 1.5s, G:maj 5.3s"
625,"N 0.0s, C:maj 8.2s, F:maj 2.5s, C:maj 2.5s, F:maj 2.6s, C:maj 2.7s, F:maj 2.6s, C:maj 2.7s, F:maj 1.3s, F:maj/3 0.9s, D:min 0.7s, C:maj 2.8s, F:maj 2.6s, C:maj 7.7s, F:maj 2.6s, C:maj 2.6s, F:maj 1.6s, A:min 0.7s, D:min 0.8s, C:maj 2.7s, F:maj 2.6s, C:maj 2.5s, F:maj 2.5s, C:maj 1.8s"
634,"N 1.3s, E:7 4.8s, E:maj 5.1s, A:min/5 6.6s, E:maj 4.4s, A:min 2.0s, A:min/5 4.5s, E:maj 4.7s, A:min 6.5s, E:maj 14.0s, C:aug 1.3s, E:maj 4.6s"
670,"N 21.5s, C#:min 1.6s, Eb:maj 1.1s, C#:min 0.7s, A:maj 1.3s, B:maj 1.5s, C#:min 1.7s, Eb:7 1.5s, A:maj7 1.6s, B:maj 1.6s, C#:min7 1.8s, Eb:7 1.4s, A:maj7 1.6s, B:7 1.6s, C#:min7 1.7s, Eb:7 1.4s, A:maj7 1.6s, B:7 1.6s, C#:min7 3.4s, A:maj7 1.3s, B:maj 1.6s, C#:min7 1.7s, Eb:7 1.4s, A:maj7 1.7s, B:maj 1.6s, C#:min 0.6s"
671,"N 24.2s, C#:min 2.1s, B:maj 1.7s, C#:min7 3.2s, A:maj/3 1.4s, B:7 1.5s, C#:min7 3.4s, A:maj/3 1.4s, B:7 1.6s, C#:min7 1.8s, Eb:7 0.9s, A:maj 2.0s, B:7 1.8s, C#:min7 1.5s, C#:min/2 1.4s, A:maj/5 1.6s, B:maj 1.6s, C#:min 1.5s, C#:min/2 1.6s, A:maj/5 1.6s, B:maj 1.6s, C#:min 0.7s"
678,"N 11.7s, Eb:maj7 1.2s, Bb:7 2.5s, Bb:maj7 1.3s, A:maj7 1.8s, E:maj/3 1.0s, F#:min7 1.1s, E:maj 1.3s, Ab:sus4(b7) 3.0s, C#:min 1.0s, Ab:min7 1.8s, C#:min7 0.9s, Ab:min7 1.7s, C#:min7 1.0s, Ab:min7 1.3s, C#:min7 1.3s, A:maj7 1.0s, Ab:min7 0.6s, C#:min7 1.0s, Ab:min7 1.7s, C#:min7 0.9s, Ab:min7 1.7s, C#:min7 1.0s, Ab:min7 1.3s, C#:min7 1.4s, A:maj7 1.0s, Ab:min7 0.7s, C#:min 1.0s, Ab:min7 1.7s, C#:min7 0.9s, Ab:min7 1.7s, C#:min 1.0s, Ab:min7 1.3s, C#:min7 1.4s, A:maj7 1.0s, Ab:min7 0.7s, C#:min 1.0s, Ab:min7 2.0s"
679,"N 0.0s, Bb:maj 2.5s, N 9.1s, Eb:7 1.1s, Bb:7 2.3s, Bb:maj7 1.4s, A:maj7 1.9s, E:maj/3 1.1s, F#:min7 1.0s, E:maj 1.3s, Ab:sus4(b7) 3.0s, C#:min 1.0s, Ab:min7 1.8s, C#:min7 0.9s, Ab:min7 1.7s, C#:min7 1.0s, Ab:min7 1.3s, C#:min7 1.3s, A:maj7 1.0s, Ab:min7 0.6s, C#:min 1.0s, Ab:min7 1.7s, C#:min7 0.9s, Ab:min7 1.7s, C#:min7 1.0s, Ab:min7 1.3s, C#:min7 1.4s, A:maj7 1.0s, Ab:min7 0.7s, C#:min 1.0s, Ab:min7 1.7s, C#:min7 0.9s, Ab:min7 1.7s, C#:min 1.0s, Ab:min7 1.3s, C#:min7 1.3s, A:maj7 1.0s, Ab:min7 0.7s, C#:min 1.0s, Ab:min7 1.7s, C#:7 0.6s"
692,"N 0.0s, A:maj 4.8s, C:maj 2.6s, Ab:maj 1.9s, A:maj 1.4s, C:maj 0.9s, Ab:maj 2.2s, C:maj 1.1s, F#:maj 1.0s, G:maj 2.4s, C:maj 0.8s, Ab:maj 1.1s, F#:maj 2.2s, C#:maj 1.0s, G:maj 1.1s, B:maj 2.1s, A:maj 1.3s, C:maj 1.0s, Ab:maj 2.2s, C:maj 1.3s, F#:maj 0.7s, G:maj 3.3s, Ab:maj 1.2s, F#:maj 2.4s, C#:maj 0.8s, G:maj 1.2s, B:maj 2.1s, A:maj 1.2s, F:maj 1.1s, G:maj/3 2.4s, F:maj 1.2s, G:maj/3 1.0s, G:maj 2.4s, C:min 1.2s, Ab:maj 1.1s, G:maj/3 0.8s, G:maj 3.6s"
705,"N 2.7s, E:min 2.4s, A:maj 1.5s, D:maj 1.3s, E:min 2.8s, A:maj 0.9s, D:maj 1.8s, E:min 0.9s, B:min 1.8s, A:maj 0.8s, D:maj 2.0s, E:min 1.3s, B:min/5 1.2s, A:maj 0.9s, D:maj 1.6s, E:min 1.1s, B:min 2.0s, A:maj 0.7s, D:maj 2.1s, E:min/b3 0.7s, B:min 1.4s, A:maj 1.2s, D:maj 2.0s, E:min 0.7s, B:min 1.8s, A:maj/5 0.9s, D:maj 1.5s, E:min 1.3s, B:min 1.7s, A:maj 1.0s, D:maj 1.5s, E:min 1.2s, B:min 1.4s, F#:min/b7 0.6s, D:maj 2.1s, E:min 1.2s, B:min 1.6s, A:maj 1.1s, E:min 1.6s, G:maj 2.5s, F#:min 1.3s"
706,"N 1.6s, F:min/b3 1.5s, Eb:maj 1.3s, F:min 1.1s, C:maj/3 1.7s, Bb:maj 1.4s, C:maj 1.0s, F:min 3.3s, F:min/b3 1.4s, F:min/5 1.3s, F:min 2.8s, Bb:maj 1.5s, C:min 1.3s, F:min 1.4s, Eb:maj 1.4s, Ab:maj 2.7s, F:min 2.9s, Bb:maj 2.8s, F:min 1.5s, Eb:maj 1.3s, Ab:maj 2.8s, F:min 2.8s, Bb:maj 1.4s, C:min 1.3s, F:min 7.6s, C:min 0.7s, F:min 4.2s, C:min 1.4s, Ab:maj 1.4s, C:min 1.3s"
708,"N 1.0s, G:maj/5 0.8s, A:min 0.8s, G:maj 1.0s, D:maj 4.7s, G:maj/5 3.7s, G:maj 4.5s, C:maj 1.0s, G:maj 2.8s, C:maj 1.0s, G:maj/3 1.8s, G:maj 4.9s, C:maj 0.9s, G:maj 2.9s, C:maj 1.0s, G:maj 2.8s, C:maj 1.0s, G:maj/3 1.8s, G:maj 12.4s, C:maj 1.0s, G:maj 2.9s, C:maj 0.9s, G:maj 2.9s, C:maj 1.0s, G:maj 0.9s"
805,"N 0.1s, B:maj 9.2s, A:maj 0.7s, C:maj 9.3s, B:maj 2.4s, A:maj 0.6s, B:maj 1.9s, A:maj 0.6s, B:maj 4.3s, A:maj 0.7s, C:maj 9.2s, B:maj 0.6s, D:maj 2.3s, B:maj 10.1s, C:maj 8.2s"
814,"N 0.3s, C#:min 1.5s, B:maj 1.6s, F#:maj 1.9s, C#:min 1.3s, B:maj 1.5s, F#:maj 1.7s, C#:min 1.3s, B:maj 1.7s, D:maj 1.1s, C#:min 1.8s, B:maj 2.0s, F#:maj 1.6s, A:maj 2.5s, Ab:min 2.2s, C#:min 1.4s, B:maj 1.8s, F#:maj 1.6s, C#:min 1.2s, B:maj 1.3s, C#:maj 0.8s, F#:maj 1.4s, C#:min 1.4s, B:maj 1.7s, F#:maj/5 3.1s, B:maj 1.7s, F#:maj 2.0s, A:maj 2.4s, Ab:maj 2.4s, C#:min 1.3s, B:maj 1.6s, D:maj 1.3s, C#:maj 1.8s, B:maj 1.3s, C#:maj 0.8s, F#:maj 1.5s, C#:min 1.5s, B:maj 0.6s"
1007,"N 6.9s, D:maj 20.8s, D:min 20.6s, Eb:maj 6.2s, N 3.2s, G:maj/5 2.3s"
1014,"N 1.0s, C#:maj 4.3s, C:maj 2.5s, G:maj 1.0s, C:maj 34.2s, F:maj 1.2s, Ab:maj 1.0s, F#:maj 1.8s, F:maj 0.9s, C:maj 7.7s, Ab:maj 0.9s, F#:maj 1.3s, F:maj 2.4s"
1015,"N 1.3s, Eb:maj 3.1s, Bb:maj 1.2s, F:maj 9.4s, Ab:maj 1.3s, F:min 8.4s, F:maj 22.4s, Ab:maj 1.4s, F:maj 9.2s, Ab:maj 2.3s"
1016,"N 0.5s, C#:min 11.7s, C#:maj 7.9s, E:maj 2.6s, C#:min 23.3s, C#:maj 3.2s, E:maj 2.1s, C#:maj 2.8s, C#:min 5.9s"
1017,"N 0.0s, F:maj 2.5s, B:maj 2.2s, F:maj 2.3s, B:maj 2.1s, F:maj 1.8s, C:maj 0.7s, B:maj 1.3s, Bb:maj 0.9s, F:maj 2.3s, B:maj 2.1s, F:maj 1.7s, C:maj 0.8s, B:maj 1.3s, Bb:maj 0.9s, F:maj 2.3s, B:maj 2.0s, F:maj 2.0s, C:maj 1.8s, Bb:maj 0.9s, F:maj 1.8s, C:maj 0.9s, B:maj 1.8s, F:maj 1.5s, C:maj 1.1s, B:maj 1.9s, F:maj 2.0s, C:maj 17.3s"
1042,"N 0.4s, G:maj 0.5s, Ab:maj 1.4s, G:maj 4.8s, D:maj 15.2s, G:maj 33.9s, C:maj 1.7s, D:min 2.0s"
1044,"N 0.0s, D:maj 10.4s, N 49.6s"
1045,N 60.0s
1046,N 60.0s
1049,"N 0.2s, C:maj 22.5s, F:maj/5 6.1s, C:maj 23.9s, N 2.6s, C:maj 2.4s, C:min 2.3s"
1050,"N 0.0s, E:min 14.4s, C:maj 9.4s, E:min 1.0s, C:maj 3.3s, E:min 18.2s, C:maj/3 1.9s, C:maj 3.7s, E:min 7.5s, C:maj 0.7s"
1073,"N 11.0s, D:maj 3.3s, G:min 2.3s, D:7 2.7s, G:min7 2.0s, Eb:maj/3 1.7s, D:7 2.8s, G:7 2.6s, D:7 31.6s"
1076,"N 9.3s, F#:min 0.5s, B:min 50.2s"
1083,"N 3.2s, C:maj 10.9s, C:min 45.9s"
1085,"N 23.8s, A:min 2.8s, N 8.1s, D:min 4.2s, A:min 3.5s, D:min 3.9s, A:min 4.2s, D:min 3.6s, A:min 3.3s, D:min 2.6s"
1086,"N 8.2s, E:maj 51.8s"
1088,"N 9.9s, E:maj 2.2s, B:min 3.3s, A:maj 2.8s, E:maj 3.1s, B:min 3.0s, A:maj 2.8s, E:maj 2.9s, B:min 3.3s, A:maj 2.9s, E:maj 2.8s, B:min 3.2s, A:maj 3.0s, E:maj 2.8s, B:min 3.2s, A:maj 2.9s, E:maj 2.9s, B:min 3.2s"
1091,"N 18.4s, A:min 4.5s, D:maj 2.7s, A:min 5.3s, D:maj 3.5s, N 1.6s, A:min 4.2s, D:maj 2.9s, A:min 5.4s, D:maj 2.8s, A:maj 5.4s, D:maj 3.3s"
1116,"N 0.8s, Eb:maj 4.8s, B:maj 4.5s, Eb:maj 4.2s, B:maj 4.1s, Eb:maj 4.1s, B:maj 4.6s, Eb:maj 3.6s, B:maj 3.8s, Eb:maj 1.9s, C#:maj 2.3s, B:maj 5.2s, Eb:maj 1.0s, Ab:maj/5 0.8s, C#:maj 2.0s, B:maj 4.3s, N 2.0s, C#:maj 2.0s, B:maj 4.0s"
1133,"N 5.5s, Eb:maj 1.9s, D:maj 0.7s, G:min 2.7s, Eb:maj 2.7s, G:min 2.7s, Eb:maj 0.7s, Eb:maj7 1.9s, G:min 2.7s, Eb:maj 2.6s, G:min 2.6s, Eb:maj 2.6s, G:min 2.7s, Eb:maj 2.6s, G:min 2.6s, Eb:maj 2.6s, G:maj 2.6s, Eb:maj 2.6s, G:maj 2.5s, Eb:maj 2.6s, G:min 2.5s, Eb:maj 2.5s, G:sus4 2.4s, Eb:maj 2.5s"
1156,"N 0.0s, E:maj 4.6s, A:maj 1.0s, G:maj 0.6s, E:maj 4.3s, A:maj 1.9s, E:maj 3.2s, A:maj 3.2s, E:maj 3.1s, A:maj 3.2s, E:maj 4.4s, A:maj 1.8s, E:maj 4.6s, A:maj 1.5s, E:maj 1.7s, D:maj 1.6s, A:maj 1.6s, G:maj 1.6s, E:maj 1.6s, D:maj 1.6s, A:maj 1.5s, G:maj 1.5s, E:maj 0.9s, A:maj 0.8s, E:maj 2.9s, A:maj 1.7s, E:maj 3.6s"
1157,"N 8.6s, E:maj 5.4s, G:maj/3 0.9s, B:maj 31.5s, E:maj 0.9s, B:maj 0.9s, F:maj 0.8s, C:maj 0.9s, F#:maj 0.8s, C#:maj 0.8s, F#:maj 1.5s, B:maj 5.4s, E:maj 1.6s"
1159,"N 0.3s, C:7 1.9s, G:maj 1.9s, C:7 2.0s, G:maj 1.9s, C:7 1.9s, G:maj 1.9s, C:7 1.8s, G:maj 1.9s, C:maj 1.8s, G:maj 1.9s, C:maj 1.9s, A:maj 1.8s, C:maj 1.9s, G:maj 1.9s, C:maj 2.0s, G:maj 1.8s, C:maj 1.9s, G:maj 1.9s, C:maj 2.0s, G:maj 1.9s, C:maj 2.0s, G:maj 1.9s, C:maj 1.9s, G:maj 1.9s, C:maj 1.9s, G:maj 1.9s, C:7 1.9s, A:maj 1.9s, C:maj 1.9s, G:maj 1.6s, C:maj 2.3s, G:maj 0.7s"
1160,"N 14.0s, C#:maj 1.9s, E:maj 1.6s, Eb:maj 1.8s, D:maj 1.8s, C#:maj 1.9s, E:maj 1.5s, Eb:maj 1.8s, D:maj 1.8s, C#:maj 1.3s, D:maj 0.4s, E:maj 1.7s, Eb:maj 1.7s, D:maj 1.7s, C#:maj 2.0s, E:maj 1.5s, Eb:maj 1.7s, D:maj 1.8s, C#:maj 1.9s, E:maj 1.6s, Eb:maj 1.7s, D:min 1.8s, C#:min 2.0s, E:maj 3.5s, D:maj 3.5s, E:maj 2.2s"
1161,"N 0.9s, E:maj 1.8s, E:min 26.4s, E:maj 3.1s, Eb:maj 2.7s, E:maj 3.0s, Eb:maj 2.9s, E:min 19.2s"
1162,"N 0.0s, E:maj 12.0s, C#:min 1.6s, F#:maj 3.5s, B:maj 3.3s, E:maj 5.1s, C#:min 1.7s, F#:maj 1.8s, B:maj 1.7s, E:maj 3.4s, A:maj 3.4s, E:maj 3.6s, B:maj 3.3s, E:maj 3.4s, A:maj 3.5s, E:maj 1.8s, C#:min 1.6s, F#:maj 1.8s, B:maj 1.6s, E:maj 2.0s"
1163,"N 1.1s, E:min 1.9s, D:maj 1.8s, C:maj 2.9s, D:maj 0.7s, E:min 1.9s, D:maj 1.8s, C:maj 3.5s, E:min 2.0s, D:maj 1.7s, C:maj 2.9s, D:maj 0.7s, E:min 1.8s, D:maj 1.8s, C:maj 5.3s, D:maj 1.8s, C:maj 1.8s, D:maj 1.8s, C:maj 1.7s, D:maj 1.6s, E:min 3.1s, C:maj 1.4s, A:maj 0.8s, D:maj 1.0s, E:min 3.1s, C:maj 1.4s, A:maj 0.8s, D:maj 1.0s, E:min 1.6s, D:maj 1.6s, C:maj 2.7s, D:maj 0.6s, E:min 0.3s"
1165,"N 8.1s, C:maj 2.1s, A:min 4.1s, A:min/b3 5.3s, Eb:maj 0.9s, C:maj 4.4s, A:min 1.8s, C:maj 2.3s, Eb:maj 0.8s, C:maj 2.4s, Eb:maj 1.2s, D:min 1.9s, F:maj 1.5s, D:min 1.6s, C:maj 1.6s, D:min 1.5s, F:maj 1.5s, D:maj 1.0s, C:maj 13.2s, D:maj 1.7s, C:maj 1.1s"
1167,"N 0.1s, C:min7 4.5s, Eb:maj 4.2s, C:min7 4.5s, Eb:maj 4.5s, C:min7 4.1s, Eb:maj7 4.3s, C:min 4.5s, Eb:maj7 4.3s, C:min 4.4s, Eb:maj7 4.3s, C:min 4.4s, Eb:maj7 4.6s, C:min 4.4s, Eb:maj7 2.9s"
1168,"N 7.7s, A:min 4.9s, C:maj 1.7s, A:min 1.7s, C:maj 1.6s, A:min 1.7s, C:maj 1.7s, A:min 1.6s, C:maj 1.8s, A:maj 1.6s, C:maj 1.6s, A:maj 1.7s, C:maj 1.8s, A:maj 1.5s, C:maj 1.7s, A:maj 1.6s, C:maj 1.6s, A:maj 1.8s, C:maj 1.5s, A:maj 1.8s, C:maj 1.8s, A:maj 1.4s, C:maj 1.6s, A:maj 1.7s, C:maj 1.7s, A:maj 1.7s, C:maj 1.7s, A:maj 1.6s, C:maj 1.7s, A:maj 1.7s, C:maj 0.6s"
1170,"N 0.0s, C:maj 42.8s, N 6.8s, C:maj 10.0s, G:maj/3 0.5s"
1171,"N 2.4s, D:maj 3.8s, E:maj 2.6s, C:maj 1.6s, D:maj 4.1s, E:maj 2.1s, A:min 1.9s, D:min 1.6s, F:maj 1.8s, D:min 1.3s, F:maj 2.1s, D:min 1.2s, F:maj 1.8s, E:maj 2.5s, C:maj 10.4s, B:maj 3.1s, D:maj 10.6s, E:maj 1.6s, D:maj 0.7s, C:maj 1.5s, D:maj 1.4s"
1172,"N 0.1s, A:min 13.0s, D:maj 0.8s, A:min 1.9s, D:maj 0.9s, A:min 1.8s, D:maj 0.9s, A:maj 5.4s, G:maj 2.8s, A:maj 2.7s, G:maj 2.7s, A:maj 0.8s, G:maj 1.1s, D:maj 0.9s, A:maj 0.7s, G:maj/2 1.1s, D:maj 0.9s, A:maj 0.7s, G:maj 1.0s, D:maj 1.0s, A:maj 0.7s, G:maj 1.1s, D:maj 1.0s, A:maj 10.5s, G:maj 0.5s, A:maj 3.7s, G:maj/2 1.2s"
