id,key,chords
2084,Eb:major,"Ab:min7 2.0s, G:7 2.0s, Gb:7 2.0s, F:hdim7 2.0s, Fb:maj7 4.0s, D:min7 2.0s, Bb:7 2.0s, C:maj6 2.0s, C:min6 2.0s, G:min6 2.0s, A:7 1.5s, A:7 0.5s, F:min6 2.0s, G:7 1.5s, G:7 0.5s, C:maj 2.0s, D:(b3,5,b7,9,11) 1.5s, G:(3,5,b7,9,b9,11,13) 0.5s, C:maj6 2.0s, C:min6 2.0s, G:min6 2.0s, A:7 1.5s, A:7 0.5s, F:min6 2.0s, G:7 1.5s, G:7 0.5s, C:maj 1.0s, Ab:dim7 1.0s, C:maj6 1.0s, C:aug 1.0s, F:maj6 1.0s, F:7 1.0s, F:min6 1.5s, G:7(b9) 0.5s, C:maj 2.0s, G:min7 2.0s, F:maj6 1.0s, F:7 1.0s, F:min6 1.5s, G:7(b9) 0.5s"
3742,F:major,"F:maj 3.5s, Eb:maj 1.0s, F:maj 1.0s, G:maj 2.0s, F:maj 4.0s, A:maj 2.0s, G:maj 2.0s, F:maj 4.0s, Gb:maj 1.0s, Ab:maj 1.0s, Bb:maj 2.0s, G:min7 4.0s, C:maj 2.0s, C:7 4.0s, F:maj 2.5s, F:maj 5.5s, E:maj 2.0s, Db:7 0.5s, F:maj 1.5s, Db:7 1.5s, C:7 0.5s, F:maj 10.0s, E:maj 2.0s, Db:7 0.5s"
4735,G:major,"G:maj 2.0s, G:7 2.0s, C:maj 2.0s, G:maj 2.0s, D:7 1.0s, A:min7 1.0s, D:7 2.0s, G:maj 1.0s, C:maj 1.0s, G:maj 5.5s, G:7 0.5s, C:maj 2.0s, G:maj 2.0s, D:7 1.0s, A:min7 1.0s, D:7 2.0s, G:maj 1.0s, C:maj 1.0s, G:maj 4.0s, G:maj 3.0s, D:7 0.5s, G:7 0.5s, C:maj 3.0s, A:7 1.0s, D:7 3.0s, A:7 0.5s, D:7 0.5s, G:maj 2.0s, C:maj 0.3s, G:maj 5.2s, G:7 0.5s, C:maj 3.5s, A:7 0.5s, D:7 2.0s"
3493,Eb:major,"Eb:maj 9.0s, Eb:maj 0.5s, Eb:sus4 0.5s, Eb:maj 1.2s, Eb:sus4 0.8s, Eb:maj 1.2s, Eb:sus4 0.8s, Eb:maj 1.5s, Eb:sus4 0.5s, Eb:maj 1.0s, F:min7 1.0s, Bb:7/3 1.0s, Eb:maj 0.5s, Eb:maj/3 0.5s, Ab:maj 0.5s, Eb:maj/3 0.5s, F:min7 1.0s, Bb:sus4(7) 1.0s, Eb:maj 0.5s, Eb:sus4 1.0s, Eb:maj 0.5s, Eb:sus4 1.0s, Eb:maj 1.5s, Eb:sus4 0.5s, Eb:maj 1.5s, Eb:sus4 0.5s, Eb:maj 1.5s, Eb:sus4 0.5s, Eb:maj 1.5s, Eb:sus4 0.5s, Eb:maj 1.0s, F:min7 1.0s, Bb:maj/3 1.5s, Eb:maj/3 0.5s, Ab:maj 0.5s, Eb:maj/3 0.5s, F:min7 1.0s, F:min7/4 1.0s, Eb:sus4 1.0s, Eb:maj 1.0s, Cb:maj 1.0s, Db:maj/b7 1.0s, Bb:min7 1.0s, E:min 1.0s, Cb:maj 1.0s, Db:maj/b7 1.0s, Bb:min7 1.0s, Eb:min 1.0s, F:hdim7 0.5s, F:hdim7/b7 0.5s, Bb:7/3 1.0s, Eb:min 0.5s, Eb:min/7 0.5s, Gb:maj/5 1.0s, F#:min7 1.0s, B:7 1.0s, F:min7 0.5s, Bb:sus4(7) 1.0s, Bb:7 0.5s, Eb:maj 0.5s, Eb:sus4 0.5s"
5006,Bb:major,"Bb:maj 2.0s, Bb:7 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, C:min 2.0s, F:7 2.0s, Bb:maj 2.0s, Bb:7 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, Eb:maj 2.0s, Bb:maj 1.0s, G:min 1.0s, F:7 2.0s, Bb:maj 1.0s, F:7 1.0s, Bb:maj 2.0s, Bb:7 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, C:min 2.0s, F:7 2.0s, Bb:maj 2.0s, Bb:7 2.0s, Eb:maj 2.0s, Bb:maj 2.0s, Eb:maj 2.0s, Bb:maj 1.0s, G:min 1.0s"
1097,G:major,"A:hdim7 1.0s, D:7(b9) 1.0s, G:maj7 2.0s, A:min9 1.0s, D:(3,5,b7,9,11,13) 1.0s, G:maj6 2.0s, E:min7 1.0s, A:7(b9) 1.0s, B:min7 1.5s, Bb:7 0.5s, A:min7 1.0s, Ab:7 1.0s, G:maj7 1.0s, G:maj6 1.0s, A:hdim7 1.0s, D:7(b9) 1.0s, G:maj7 2.0s, A:min9 1.0s, D:(3,5,b7,9,11,13) 1.0s, G:maj6 2.0s, E:min7 1.0s, A:7(b9) 1.0s, B:min7 1.5s, Bb:7 0.5s, A:min7 1.0s, Ab:7 1.0s, G:maj 1.0s, G:7 1.0s, C:maj7 1.0s, D:min 1.0s, B:maj 1.5s, C:maj7 0.5s, B:(3,#5,b7) 1.0s, B:7 1.0s, E:min 0.7s, E:min7 0.7s, E:min6 0.7s, A:min6 2.0s, E:min 2.0s, E:hdim7 1.0s, A:9 1.0s, Bb:maj 1.0s, D:7 1.0s, A:hdim7 1.0s, D:7(b9) 1.0s, G:maj7 1.5s, G:maj6 0.5s, B:(3,#5,b7) 1.0s, B:7 1.0s, E:min 3.0s, E:min7 1.0s, A:9 1.5s, A:7(b5) 0.5s"
2143,Bb:major,"C:min9 1.0s, F:9 0.5s, C:min7 0.5s, D:min7 1.0s, Db:dim 1.0s, C:min7 1.0s, F:aug 1.0s, D:hdim7 1.0s, G:7 1.0s, B:dim 1.0s, C:hdim7 1.0s, D:min7 1.0s, G:7 1.0s, C:min7 0.8s, B:7 1.0s, Bb:maj 2.2s, C:min9 1.0s, F:9 0.5s, C:min7 0.5s, D:min7 1.0s, Db:dim 1.0s, C:min7 1.0s, F:aug 1.0s, D:hdim7 1.0s, G:7 1.0s, B:dim 1.0s, C:hdim7 1.0s, D:min7 1.0s, G:7 1.0s, C:min7 0.8s, B:7 1.0s, Bb:maj6 2.2s, F:min7 1.0s, Bb:(3,#5,b7) 1.0s, Eb:maj7 1.5s, Eb:maj6 0.5s, F:min7 1.0s, Bb:7 1.0s, Eb:maj9 1.5s, Eb:maj6 0.5s, E:min7 1.0s, A:7(#5,b9) 1.0s, D:maj9 1.5s, D:maj6 0.5s, G:min 0.5s, D:aug 0.5s, G:min7 0.5s, C:7 0.5s, C:min7 1.0s, F:7 1.0s, C:min9 1.0s, F:9 0.5s, C:min7 0.5s, D:min7 1.0s, Db:dim 1.0s, C:min7 1.0s, F:(3,#5,b7) 1.0s, D:hdim7 1.0s, G:7 1.0s, B:dim 1.0s, C:hdim7 1.0s, D:min7 1.0s, G:9 1.0s"
1668,Ab:major,"F:min 3.0s, C:7 1.0s, F:min 4.0s, Bb:min7 4.0s, F:min 4.0s, Ab:min7 1.0s, Db:9 2.0s, C:7 1.0s, F:min 4.0s, F:min 3.0s, C:7 1.0s, F:min 4.0s, Bb:min7 4.0s, F:min 4.0s, Ab:min7 1.0s, Db:9 2.0s, C:7 1.0s, F:min 4.0s"
5859,C:major,"G:maj 2.0s, D:7 4.0s, G:maj 4.0s, D:7 4.0s, G:maj 4.0s, D:7 2.0s, G:maj 2.0s, C:maj 2.0s, G:maj 1.0s, D:7 1.0s, G:maj 1.0s, D:7 3.0s, G:maj 4.0s, D:7 4.0s, G:maj 4.0s, D:7 4.0s, G:maj 4.0s, D:7 2.0s, G:maj 2.0s, C:maj 2.0s, G:maj 1.0s, D:7 1.0s, G:maj 1.0s, D:7 1.0s"
3438,C:major,"C:maj 1.0s, C:maj 1.0s, F:maj 2.0s, G:7 2.0s, C:maj 4.0s, F:maj 2.0s, G:7 4.0s, C:maj 2.0s, F:maj 2.0s, G:7 2.0s, C:maj 2.0s, C:9 1.0s, C:9 1.0s, F:maj 2.0s, G:7 2.0s, C:maj 2.0s, C:maj 2.0s, C:maj 2.0s, C:maj 2.0s, F:maj 2.0s, G:7 2.0s, C:maj 4.0s, F:maj 1.0s, F:maj 1.0s, G:7 4.0s"
1986,Bb:major,"G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, G:min 4.0s, F:min 4.0s, C:min 4.0s"
3508,G:major,"G:maj 2.0s, D:7 4.0s, G:maj 2.0s, C:maj 2.0s, C:aug 2.0s, A:min 2.0s, D:7 2.0s, G:maj 2.0s, D:7 4.0s, G:maj 2.0s, C:maj 2.0s, A:min 2.0s, D:7 2.0s, G:maj 2.0s, G:maj 3.0s, D:7 3.0s, G:maj 5.0s, D:7 3.0s, G:maj 2.0s, G:maj 2.0s, D:7 4.0s, G:maj 2.0s, C:maj 2.0s, C:aug 2.0s"
2969,G:major,"D:7 2.0s, G:maj7 2.0s, G:maj9 1.0s, D:7 1.0s, G:maj7 2.0s, G:maj9 1.0s, E:min7 1.0s, A:min7 1.0s, D:7 1.0s, A:min7 1.0s, D:7 1.0s, G:maj 3.0s, D:7 1.0s, G:maj7 3.0s, G:7 1.0s, C:maj6 2.0s, C:min 2.0s, G:maj 1.0s, E:min 1.0s, A:min7 1.5s, C:min 0.5s, G:maj 1.0s, E:min 1.0s, E:min7 0.5s, A:7 1.5s, D:7 4.0s, G:maj7 2.0s, G:maj9 1.0s, D:7 1.0s, G:maj7 2.0s, G:maj9 1.0s, E:min7 1.0s, A:min7 1.0s, D:7 1.0s, A:min7 1.0s, D:7 1.0s, G:maj6 1.5s, A:min7 0.5s, D:7 2.0s, G:maj6 2.0s"
402,F:major,"F:maj 1.0s, A:min 0.5s, F:maj 0.5s, Bb:maj 4.0s, C:7 2.0s, F:maj 1.0s, A:7 1.0s, D:min 1.0s, F:7 1.0s, Bb:maj 2.0s, G:min7 0.5s, C:7 1.5s, F:maj 1.0s, A:7 1.0s, D:min 1.0s, F:maj 1.0s, Bb:maj 1.0s, C:9 1.0s, F:maj 2.0s, G:min 1.0s, A:7 1.0s, D:min 1.0s, E:7 1.0s, A:min7 1.0s, D:9 1.0s, G:min 1.0s, C:7 1.0s, F:maj 1.0s, A:min 0.5s, F:maj 0.5s, Bb:maj 4.0s, C:7 2.0s, F:maj 1.0s, A:7 1.0s, D:min 1.0s, F:7 1.0s, Bb:maj 2.0s, G:min7 0.5s, C:7 1.5s, F:maj 1.0s, A:7 1.0s, D:min 1.0s, F:maj 1.0s, Bb:maj 1.0s, D:maj 0.0s, E:7 1.0s, A:min 1.0s, D:7 1.0s, G:min 2.0s, Bb:maj 1.0s, C:7 1.0s"
6432,G:major,"G:maj 1.0s, D:maj 1.0s, C:maj 1.0s, A:min7 1.0s, G:maj 1.0s, E:min 1.0s, A:min 1.0s, D:maj 1.0s, G:maj 1.0s, D:maj 2.0s, A:min7 1.0s, G:maj 1.0s, E:min 1.0s, A:min 1.0s, D:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 1.0s, A:min7 1.0s, G:maj 1.0s, E:min 1.0s, A:min 1.0s, D:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 0.8s, A:min7 1.2s, G:maj 1.0s, E:min 1.0s, D:maj 0.5s, G:maj 1.0s, C:maj 1.0s, G:maj 1.0s, C:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 1.0s, A:min7 1.0s, G:maj 1.0s, E:min 1.0s, A:min 1.0s, D:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 1.0s, A:min7 1.0s, G:maj 1.5s, E:min 0.5s, D:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 0.5s, G:maj 1.0s, C:maj 1.0s, G:maj 1.0s, C:maj 1.0s, G:maj 1.0s, D:maj 1.0s, C:maj 1.0s, A:min7 1.0s"
2975,C:major,"C:maj 2.0s, D:min7 1.5s, G:7 0.5s, C:maj 2.0s, F:maj6 1.0s, G:7 1.0s, C:maj 1.5s, A:min 0.5s, D:min7 1.5s, G:7 0.5s, C:maj 2.0s, F:maj 1.0s, G:7 1.0s, C:maj 2.0s, D:min7 1.5s, G:7 0.5s, C:maj 1.0s, A:min 1.0s, B:7 2.0s, E:maj 1.0s, A:maj 0.5s, B:7 0.5s, C#:min 0.5s, E:maj 0.5s, F#:min 0.5s, B:7 0.5s, E:maj 1.0s, A:maj 1.0s, E:maj 2.0s, D:min 2.0s, A:7 2.0s, D:min 2.0s, F#:dim7 2.0s, C:maj 1.0s, C:dim 0.5s, C:maj 0.5s, D:7 2.0s, G:7 1.0s, C#:dim7 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 2.0s, D:min7 1.0s, G:7 1.0s, C:7 2.0s, F:maj 1.0s, A:7 1.0s, D:7 2.0s, G:7 2.0s"
5482,Eb:major,"G:maj 2.0s, C:min 2.0s, G:maj 1.0s, F:min 1.0s, G:maj 4.0s, C:min 1.0s, F:min 1.0s, G:maj 2.0s, C:min 1.0s, G:maj 1.0s, C:min 5.0s, F:min 3.0s, C:min 1.0s, G:maj 1.0s, C:min 5.0s, F:min 3.0s, C:min 1.0s, G:maj 1.0s, C:min 2.0s"
3934,F:major,"D:min 4.0s, A:7 2.0s, D:min 6.0s, A:7 3.5s, D:min 6.5s, A:7 2.0s, D:min 4.0s, A:7 2.0s, D:min 2.0s, D:min 4.0s, A:7 2.0s, D:min 6.0s, A:7 2.0s, D:min 2.0s, D:min 2.0s"
210,F:major,"F:maj 2.0s, F:sus4 0.5s, F:maj 1.5s, F:maj 2.0s, Ab:maj 1.0s, Eb:9 1.0s, F:maj 4.0s, F:sus4 1.0s, F:maj 1.0s, Ab:maj 1.0s, Eb:9 1.0s, F:maj 4.0s, F:sus4 0.5s, F:maj 1.5s, Ab:maj 1.0s, Eb:9 1.0s, Bb:min 1.0s, Db:maj 1.0s, Ab:maj 1.3s, Eb:9 0.8s, C:min 1.3s, Eb:maj 0.8s, F:maj 2.0s, Bb:min 1.0s, Db:maj 1.0s, Ab:maj 0.5s, Eb:9 1.5s, C:min 1.0s, Eb:maj 1.0s, F:maj 2.0s, F:sus4 0.5s, F:maj 1.5s, F:maj 2.0s, Ab:maj 1.0s, Eb:9 1.0s, F:maj 4.0s, F:sus4 1.0s, F:maj 1.0s, Ab:maj 1.0s, Eb:9 1.0s, F:maj 4.0s, F:sus4 0.5s, F:maj 1.5s"
5498,C:major,"G:min7 8.0s, Bb:9 4.0s, G:min9 4.0s, G:min7 8.0s, Bb:9 4.0s, G:min9 4.0s, Eb:maj6 2.0s, C:min9 2.0s, G:min7 4.0s, Eb:maj6 2.0s, C:min9 2.0s, G:min7 4.0s, Eb:maj6 2.0s, C:min9 2.0s, G:min7 4.0s, Eb:maj6 2.0s, C:min9 2.0s"
2686,C:major,"D:min7 2.0s, G:7 2.0s, C:maj 4.0s, D:min7 2.0s, G:7 2.0s, C:maj 4.0s, F:maj 4.0s, C:maj 2.0s, A:7 2.0s, D:min 2.0s, A:7 2.0s, D:min7 2.0s, G:7 2.0s, D:min7 2.0s, G:7 2.0s, C:maj 4.0s, D:min7 2.0s, G:7 2.0s, A:min 4.0s, D:7 4.0s, C:maj 2.0s, A:7 2.0s, F:maj 2.0s, G:7 2.0s"
2376,G:major,"C:maj 2.0s, D:min 2.0s, G:7 2.0s, C:maj 2.0s, C:maj 2.0s, D:min 2.0s, G:7 2.0s, C:maj 2.0s, F:maj7 2.0s, E:min7 2.0s, D:min7 1.2s, G:(3,5,b7,9,11,13) 0.8s, Bb:maj 2.0s, F:maj9 2.0s, E:min7 2.0s, D:maj 2.0s, C:9 2.0s, F:maj9 2.0s, A:min7 2.0s, E:min7 1.0s, F:maj7 1.0s, G:9 4.0s, G:7 2.0s, F:maj7 2.0s, E:min7 2.0s, D:min7 1.2s, G:(3,5,b7,9,11,13) 0.8s, Bb:maj 2.0s, F:maj9 2.0s, E:min7 2.0s, D:maj 2.0s, C:9 2.0s"
246,C:major,"C:maj 4.0s, F:maj 1.0s, C:maj 1.0s, G:7 2.0s, C:maj 4.0s, F:maj 1.0s, C:maj 1.0s, G:7 1.0s, C:maj 1.0s, F:maj 2.0s, C:maj 2.0s, G:7 2.0s, C:maj 3.5s, C:7 0.5s, F:maj 2.0s, C:maj 2.0s, G:7 1.0s, C:maj 1.0s, C:maj 4.0s, F:maj 1.0s, C:maj 1.0s, G:7 2.0s, C:maj 4.0s, F:maj 1.0s, C:maj 1.0s, G:7 1.0s, C:maj 1.0s, F:maj 2.0s, C:maj 2.0s, G:7 2.0s, C:maj 3.5s, C:7 0.5s, F:maj 2.0s"
5785,Bb:major,"Bb:maj 4.0s, C:min7 4.0s, Bb:maj 4.0s, F:min 2.0s, Bb:maj 2.0s, Eb:maj 4.0s, Bb:maj 1.0s, G:min7 3.0s, C:maj 2.0s, C:min7 2.0s, F:7 2.0s, Bb:maj 4.0s, C:min7 4.0s, Bb:maj 4.0s, F:min 2.5s, Bb:maj 1.5s, Eb:maj 2.0s, D:7 2.0s, G:min7 2.0s, C:maj 2.0s, C:min7 4.0s, Bb:maj 2.0s"
1346,C:major,"A:min 2.0s, F:maj 2.0s, A:min 4.0s, A:min 2.0s, F:maj 2.0s, A:min 6.0s, F:maj 2.0s, A:min 2.0s, A:min 1.0s, F:maj 1.0s, A:min 2.0s, F:maj 2.0s, A:min 6.0s, F:maj 1.5s, A:min 3.5s, F:maj 1.0s, A:min 2.0s, E:maj 2.0s, A:min 4.0s, F:maj 2.0s, A:min 2.0s, F:maj 2.0s, A:min 2.0s, D:min 2.0s, A:min 2.0s"
5912,C:major,"A:min 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.7s, A:min6 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.8s, A:min7 1.0s, C:9 1.0s, F:maj6 1.0s, D:min7 0.5s, G:7(b9) 0.5s, C:maj6 4.0s, A:min 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.8s, A:min6 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.8s, A:min7 1.0s, C:9 1.0s, F:maj6 1.0s, D:min7 0.5s, G:7(b9) 0.5s, C:maj6 2.0s, C:9 1.0s, C:maj 1.0s, F:7 2.0s, C:maj6 2.0s, F:7 2.0s, C:maj6 2.0s, F:7 2.0s, A:min7 2.0s, F:9 2.0s, E:7 2.0s, A:min 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.8s, A:min6 1.0s, A:min(#5) 1.0s, A:min6 1.2s, A:min(#5) 0.8s, A:min7 1.0s, C:9 1.0s, F:maj6 1.0s, D:min7 0.5s, G:7(b9) 0.5s"
4357,F:major,"F:maj 12.0s, Bb:maj 8.0s, F:maj 4.0s, G:min 2.0s, C:7 2.0s, F:maj 3.5s, F:7 0.5s, Bb:maj 4.0s, F:maj 4.0s, C:7 4.0s, F:maj 2.0s, F:7 2.0s, Bb:maj 4.0s, F:maj 4.0s, C:7 4.0s"
755,C:major,"G:7(b9) 1.0s, C:maj 2.0s, C:maj6 2.0s, C:maj7 2.0s, C:maj6 2.0s, C:maj 2.0s, C:maj6 2.0s, E:min7 2.0s, A:7 2.0s, D:min7 2.0s, E:7 2.0s, A:min 2.0s, A:min7 2.0s, A:min 2.0s, D:7 2.0s, D:min7 2.0s, D:min7 1.0s, G:7(b9) 1.0s, C:maj 2.0s, C:maj6 2.0s, C:maj7 2.0s, G:min7 1.5s, G:min6 1.0s, F:maj7 1.5s, F:maj6 2.0s, A:min7 2.0s, D:7 1.0s, D:7(b9) 1.0s, G:min 2.5s, E:7 1.5s, A:min 2.0s, F:min6 2.0s, C:maj 2.0s, A:min7 1.0s"
1215,Eb:major,"C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.0s, D:min7(b5) 2.0s, C:min 2.3s, F:min7 0.7s, Bb:7 1.0s, Eb:maj 4.0s, C:7 4.0s, F:min 2.0s, F#:dim 2.0s, D:min7(b5) 2.0s, G:7 2.0s, C:min 2.0s, D:min7(b5) 1.0s, G:7 1.0s, C:min 2.0s, D:min7(b5) 1.0s, G:7 1.0s, C:min 2.0s, D:min7(b5) 1.0s, G:7 1.0s"
