track_id,chroma_activations
540,"C:0.180, C#:0.182, D:0.052, D#:0.081, E:0.058, F:0.098, F#:0.034, G:0.058, G#:0.088, A:0.036, A#:0.066, B:0.068"
542,"C:0.075, C#:0.063, D:0.051, D#:0.038, E:0.022, F:0.042, F#:0.032, G:0.038, G#:0.060, A:0.066, A#:0.161, B:0.354"
546,"C:0.069, C#:0.047, D:0.083, D#:0.089, E:0.064, F:0.074, F#:0.074, G:0.129, G#:0.175, A:0.063, A#:0.070, B:0.061"
547,"C:0.109, C#:0.057, D:0.048, D#:0.067, E:0.028, F:0.080, F#:0.059, G:0.171, G#:0.230, A:0.045, A#:0.056, B:0.052"
549,"C:0.082, C#:0.068, D:0.076, D#:0.061, E:0.047, F:0.062, F#:0.069, G:0.090, G#:0.109, A:0.077, A#:0.144, B:0.115"
564,"C:0.244, C#:0.122, D:0.055, D#:0.056, E:0.063, F:0.046, F#:0.036, G:0.060, G#:0.035, A:0.035, A#:0.110, B:0.138"
565,"C:0.027, C#:0.067, D:0.043, D#:0.094, E:0.220, F:0.055, F#:0.037, G:0.033, G#:0.085, A:0.137, A#:0.060, B:0.143"
566,"C:0.412, C#:0.077, D:0.060, D#:0.026, E:0.018, F:0.008, F#:0.014, G:0.058, G#:0.040, A:0.082, A#:0.067, B:0.138"
567,"C:0.052, C#:0.062, D:0.066, D#:0.067, E:0.054, F:0.046, F#:0.061, G:0.044, G#:0.043, A:0.080, A#:0.212, B:0.213"
569,"C:0.051, C#:0.075, D:0.045, D#:0.044, E:0.097, F:0.118, F#:0.271, G:0.078, G#:0.039, A:0.051, A#:0.041, B:0.090"
570,"C:0.047, C#:0.034, D:0.032, D#:0.035, E:0.080, F:0.044, F#:0.075, G:0.115, G#:0.144, A:0.246, A#:0.096, B:0.053"
571,"C:0.073, C#:0.181, D:0.019, D#:0.017, E:0.039, F:0.162, F#:0.236, G:0.079, G#:0.035, A:0.056, A#:0.067, B:0.037"
572,"C:0.030, C#:0.038, D:0.052, D#:0.101, E:0.168, F:0.113, F#:0.136, G:0.072, G#:0.080, A:0.099, A#:0.038, B:0.072"
573,"C:0.018, C#:0.043, D:0.080, D#:0.176, E:0.058, F:0.056, F#:0.041, G:0.266, G#:0.052, A:0.080, A#:0.103, B:0.028"
574,"C:0.047, C#:0.036, D:0.036, D#:0.122, E:0.036, F:0.047, F#:0.119, G:0.092, G#:0.221, A:0.094, A#:0.082, B:0.068"
579,"C:0.054, C#:0.050, D:0.061, D#:0.083, E:0.139, F:0.096, F#:0.068, G:0.081, G#:0.074, A:0.125, A#:0.096, B:0.074"
580,"C:0.112, C#:0.073, D:0.068, D#:0.056, E:0.092, F:0.045, F#:0.060, G:0.121, G#:0.079, A:0.120, A#:0.088, B:0.085"
608,"C:0.089, C#:0.067, D:0.132, D#:0.113, E:0.071, F:0.043, F#:0.035, G:0.036, G#:0.058, A:0.201, A#:0.101, B:0.057"
610,"C:0.065, C#:0.067, D:0.290, D#:0.149, E:0.031, F:0.055, F#:0.036, G:0.062, G#:0.020, A:0.051, A#:0.141, B:0.033"
611,"C:0.121, C#:0.039, D:0.153, D#:0.026, E:0.089, F:0.034, F#:0.044, G:0.314, G#:0.055, A:0.045, A#:0.017, B:0.063"
612,"C:0.046, C#:0.061, D:0.110, D#:0.072, E:0.069, F:0.081, F#:0.202, G:0.138, G#:0.068, A:0.055, A#:0.047, B:0.051"
625,"C:0.416, C#:0.038, D:0.063, D#:0.011, E:0.039, F:0.138, F#:0.043, G:0.118, G#:0.014, A:0.049, A#:0.026, B:0.045"
634,"C:0.078, C#:0.036, D:0.069, D#:0.132, E:0.355, F:0.089, F#:0.030, G:0.019, G#:0.035, A:0.063, A#:0.031, B:0.063"
670,"C:0.109, C#:0.126, D:0.074, D#:0.090, E:0.117, F:0.063, F#:0.050, G:0.048, G#:0.061, A:0.042, A#:0.105, B:0.115"
671,"C:0.110, C#:0.128, D:0.074, D#:0.089, E:0.116, F:0.063, F#:0.051, G:0.051, G#:0.059, A:0.042, A#:0.103, B:0.113"
678,"C:0.044, C#:0.124, D:0.063, D#:0.062, E:0.095, F:0.049, F#:0.096, G:0.056, G#:0.180, A:0.077, A#:0.092, B:0.062"
679,"C:0.041, C#:0.128, D:0.062, D#:0.065, E:0.097, F:0.047, F#:0.100, G:0.054, G#:0.182, A:0.075, A#:0.087, B:0.060"
692,"C:0.098, C#:0.061, D:0.046, D#:0.035, E:0.038, F:0.051, F#:0.104, G:0.146, G#:0.122, A:0.114, A#:0.068, B:0.116"
705,"C:0.024, C#:0.042, D:0.092, D#:0.059, E:0.125, F:0.065, F#:0.166, G:0.099, G#:0.055, A:0.150, A#:0.048, B:0.075"
706,"C:0.163, C#:0.050, D:0.040, D#:0.083, E:0.074, F:0.135, F#:0.049, G:0.087, G#:0.088, A:0.058, A#:0.093, B:0.080"
708,"C:0.160, C#:0.071, D:0.127, D#:0.031, E:0.042, F:0.030, F#:0.070, G:0.103, G#:0.054, A:0.103, A#:0.063, B:0.146"
805,"C:0.230, C#:0.067, D:0.040, D#:0.021, E:0.018, F:0.011, F#:0.024, G:0.023, G#:0.043, A:0.138, A#:0.100, B:0.285"
814,"C:0.048, C#:0.252, D:0.117, D#:0.029, E:0.023, F:0.009, F#:0.080, G:0.056, G#:0.116, A:0.121, A#:0.054, B:0.095"
1007,"C:0.040, C#:0.075, D:0.277, D#:0.090, E:0.071, F:0.032, F#:0.040, G:0.060, G#:0.041, A:0.160, A#:0.077, B:0.037"
1014,"C:0.290, C#:0.135, D:0.067, D#:0.067, E:0.058, F:0.075, F#:0.058, G:0.046, G#:0.040, A:0.029, A#:0.051, B:0.083"
1015,"C:0.106, C#:0.054, D:0.040, D#:0.077, E:0.094, F:0.234, F#:0.108, G:0.066, G#:0.069, A:0.046, A#:0.056, B:0.051"
1016,"C:0.061, C#:0.229, D:0.120, D#:0.092, E:0.194, F:0.119, F#:0.043, G:0.029, G#:0.031, A:0.023, A#:0.023, B:0.037"
1017,"C:0.199, C#:0.064, D:0.037, D#:0.035, E:0.048, F:0.093, F#:0.057, G:0.044, G#:0.047, A:0.069, A#:0.140, B:0.168"
1042,"C:0.115, C#:0.067, D:0.117, D#:0.033, E:0.034, F:0.040, F#:0.058, G:0.125, G#:0.160, A:0.134, A#:0.049, B:0.069"
1044,"C:0.121, C#:0.078, D:0.072, D#:0.026, E:0.030, F:0.027, F#:0.054, G:0.088, G#:0.118, A:0.161, A#:0.107, B:0.118"
1045,"C:0.072, C#:0.048, D:0.054, D#:0.025, E:0.031, F:0.036, F#:0.080, G:0.139, G#:0.145, A:0.152, A#:0.116, B:0.102"
1046,"C:0.048, C#:0.055, D:0.107, D#:0.066, E:0.028, F:0.042, F#:0.061, G:0.150, G#:0.265, A:0.086, A#:0.048, B:0.045"
1049,"C:0.351, C#:0.132, D:0.071, D#:0.042, E:0.037, F:0.028, F#:0.026, G:0.092, G#:0.025, A:0.037, A#:0.049, B:0.111"
1050,"C:0.080, C#:0.066, D:0.168, D#:0.174, E:0.181, F:0.088, F#:0.041, G:0.037, G#:0.029, A:0.022, A#:0.043, B:0.070"
1073,"C:0.071, C#:0.082, D:0.161, D#:0.113, E:0.087, F:0.065, F#:0.080, G:0.118, G#:0.064, A:0.068, A#:0.041, B:0.050"
1076,"C:0.034, C#:0.099, D:0.136, D#:0.127, E:0.048, F:0.043, F#:0.088, G:0.012, G#:0.018, A:0.065, A#:0.046, B:0.284"
1083,"C:0.402, C#:0.030, D:0.014, D#:0.016, E:0.015, F:0.023, F#:0.031, G:0.084, G#:0.011, A:0.028, A#:0.121, B:0.225"
1085,"C:0.136, C#:0.084, D:0.114, D#:0.044, E:0.047, F:0.039, F#:0.059, G:0.118, G#:0.084, A:0.131, A#:0.056, B:0.089"
1086,"C:0.081, C#:0.055, D:0.084, D#:0.062, E:0.172, F:0.072, F#:0.059, G:0.074, G#:0.073, A:0.067, A#:0.073, B:0.128"
1088,"C:0.084, C#:0.038, D:0.025, D#:0.022, E:0.042, F:0.043, F#:0.112, G:0.056, G#:0.081, A:0.153, A#:0.149, B:0.196"
1091,"C:0.101, C#:0.065, D:0.115, D#:0.048, E:0.070, F:0.056, F#:0.072, G:0.108, G#:0.082, A:0.141, A#:0.064, B:0.079"
1116,"C:0.085, C#:0.028, D:0.015, D#:0.117, E:0.046, F:0.022, F#:0.173, G:0.124, G#:0.040, A:0.017, A#:0.160, B:0.173"
1133,"C:0.067, C#:0.050, D:0.188, D#:0.126, E:0.046, F:0.042, F#:0.056, G:0.188, G#:0.038, A:0.064, A#:0.097, B:0.039"
1156,"C:0.022, C#:0.028, D:0.058, D#:0.088, E:0.232, F:0.053, F#:0.033, G:0.067, G#:0.093, A:0.203, A#:0.068, B:0.055"
1157,"C:0.044, C#:0.028, D:0.031, D#:0.046, E:0.103, F:0.075, F#:0.114, G:0.149, G#:0.097, A:0.077, A#:0.097, B:0.139"
1159,"C:0.113, C#:0.047, D:0.055, D#:0.033, E:0.075, F:0.068, F#:0.086, G:0.172, G#:0.077, A:0.089, A#:0.076, B:0.109"
1160,"C:0.065, C#:0.130, D:0.153, D#:0.143, E:0.125, F:0.043, F#:0.025, G:0.018, G#:0.041, A:0.069, A#:0.105, B:0.084"
1161,"C:0.053, C#:0.050, D:0.081, D#:0.137, E:0.280, F:0.088, F#:0.044, G:0.035, G#:0.026, A:0.018, A#:0.042, B:0.144"
1162,"C:0.047, C#:0.056, D:0.040, D#:0.071, E:0.204, F:0.087, F#:0.108, G:0.058, G#:0.066, A:0.076, A#:0.049, B:0.139"
1163,"C:0.159, C#:0.069, D:0.102, D#:0.056, E:0.173, F:0.042, F#:0.101, G:0.096, G#:0.026, A:0.043, A#:0.047, B:0.087"
1165,"C:0.151, C#:0.094, D:0.109, D#:0.110, E:0.091, F:0.049, F#:0.042, G:0.055, G#:0.050, A:0.078, A#:0.070, B:0.101"
1167,"C:0.226, C#:0.046, D:0.125, D#:0.217, E:0.036, F:0.038, F#:0.013, G:0.108, G#:0.009, A:0.035, A#:0.079, B:0.067"
1168,"C:0.109, C#:0.056, D:0.057, D#:0.078, E:0.153, F:0.069, F#:0.054, G:0.095, G#:0.075, A:0.116, A#:0.058, B:0.079"
1170,"C:0.177, C#:0.059, D:0.028, D#:0.020, E:0.028, F:0.044, F#:0.114, G:0.195, G#:0.080, A:0.053, A#:0.102, B:0.100"
1171,"C:0.133, C#:0.080, D:0.139, D#:0.084, E:0.120, F:0.073, F#:0.053, G:0.057, G#:0.042, A:0.076, A#:0.053, B:0.091"
1172,"C:0.085, C#:0.060, D:0.060, D#:0.058, E:0.103, F:0.060, F#:0.059, G:0.113, G#:0.108, A:0.157, A#:0.076, B:0.062"
1173,"C:0.056, C#:0.088, D:0.113, D#:0.057, E:0.090, F:0.201, F#:0.143, G:0.050, G#:0.088, A:0.059, A#:0.023, B:0.032"
1174,"C:0.059, C#:0.106, D:0.060, D#:0.060, E:0.095, F:0.111, F#:0.243, G:0.089, G#:0.054, A:0.035, A#:0.032, B:0.057"
1175,"C:0.070, C#:0.118, D:0.078, D#:0.037, E:0.055, F:0.039, F#:0.029, G:0.045, G#:0.194, A:0.191, A#:0.069, B:0.075"
1177,"C:0.080, C#:0.220, D:0.042, D#:0.061, E:0.148, F:0.057, F#:0.027, G:0.032, G#:0.174, A:0.078, A#:0.026, B:0.057"
1179,"C:0.022, C#:0.066, D:0.206, D#:0.039, E:0.044, F:0.031, F#:0.109, G:0.161, G#:0.047, A:0.185, A#:0.043, B:0.046"
1181,"C:0.034, C#:0.117, D:0.273, D#:0.067, E:0.043, F:0.034, F#:0.092, G:0.130, G#:0.055, A:0.099, A#:0.020, B:0.037"
1182,"C:0.023, C#:0.034, D:0.048, D#:0.081, E:0.111, F:0.043, F#:0.094, G:0.087, G#:0.086, A:0.129, A#:0.107, B:0.158"
1183,"C:0.046, C#:0.037, D:0.055, D#:0.101, E:0.185, F:0.065, F#:0.057, G:0.063, G#:0.066, A:0.091, A#:0.096, B:0.137"
1186,"C:0.044, C#:0.045, D:0.142, D#:0.066, E:0.089, F:0.134, F#:0.082, G:0.129, G#:0.067, A:0.147, A#:0.037, B:0.018"
1187,"C:0.073, C#:0.027, D:0.068, D#:0.065, E:0.196, F:0.060, F#:0.035, G:0.049, G#:0.051, A:0.241, A#:0.054, B:0.081"
1189,"C:0.069, C#:0.078, D:0.049, D#:0.053, E:0.075, F:0.097, F#:0.222, G:0.082, G#:0.059, A:0.108, A#:0.047, B:0.061"
1190,"C:0.034, C#:0.031, D:0.071, D#:0.157, E:0.266, F:0.146, F#:0.067, G:0.042, G#:0.032, A:0.028, A#:0.042, B:0.084"
1191,"C:0.101, C#:0.037, D:0.109, D#:0.053, E:0.108, F:0.267, F#:0.052, G:0.100, G#:0.014, A:0.057, A#:0.021, B:0.081"
1192,"C:0.137, C#:0.053, D:0.066, D#:0.097, E:0.042, F:0.046, F#:0.077, G:0.130, G#:0.089, A:0.050, A#:0.072, B:0.142"
1193,"C:0.039, C#:0.056, D:0.008, D#:0.018, E:0.021, F:0.013, F#:0.029, G:0.104, G#:0.210, A:0.173, A#:0.142, B:0.188"
1194,"C:0.134, C#:0.105, D:0.087, D#:0.097, E:0.157, F:0.041, F#:0.031, G:0.054, G#:0.062, A:0.112, A#:0.043, B:0.078"
1198,"C:0.192, C#:0.115, D:0.369, D#:0.060, E:0.040, F:0.068, F#:0.013, G:0.014, G#:0.017, A:0.042, A#:0.023, B:0.048"
1199,"C:0.025, C#:0.112, D:0.068, D#:0.104, E:0.067, F:0.112, F#:0.131, G:0.044, G#:0.118, A:0.073, A#:0.102, B:0.042"
1219,"C:0.218, C#:0.108, D:0.075, D#:0.040, E:0.057, F:0.024, F#:0.019, G:0.224, G#:0.091, A:0.025, A#:0.072, B:0.046"
1231,"C:0.023, C#:0.015, D:0.032, D#:0.036, E:0.171, F:0.033, F#:0.023, G:0.053, G#:0.236, A:0.062, A#:0.027, B:0.289"
1232,"C:0.019, C#:0.248, D:0.040, D#:0.049, E:0.030, F:0.039, F#:0.161, G:0.043, G#:0.034, A:0.160, A#:0.126, B:0.051"
1235,"C:0.005, C#:0.036, D:0.006, D#:0.008, E:0.029, F:0.095, F#:0.698, G:0.077, G#:0.022, A:0.006, A#:0.013, B:0.005"
1275,"C:0.042, C#:0.046, D:0.093, D#:0.099, E:0.118, F:0.169, F#:0.097, G:0.059, G#:0.046, A:0.057, A#:0.099, B:0.076"
1277,"C:0.036, C#:0.031, D:0.047, D#:0.156, E:0.072, F:0.104, F#:0.064, G:0.111, G#:0.144, A:0.093, A#:0.101, B:0.043"
1354,"C:0.046, C#:0.079, D:0.113, D#:0.121, E:0.148, F:0.097, F#:0.122, G:0.048, G#:0.035, A:0.038, A#:0.057, B:0.094"
1381,"C:0.110, C#:0.047, D:0.041, D#:0.026, E:0.055, F:0.029, F#:0.034, G:0.096, G#:0.092, A:0.183, A#:0.163, B:0.123"
1417,"C:0.102, C#:0.034, D:0.067, D#:0.140, E:0.167, F:0.034, F#:0.022, G:0.013, G#:0.025, A:0.036, A#:0.070, B:0.290"
1418,"C:0.069, C#:0.059, D:0.090, D#:0.069, E:0.174, F:0.070, F#:0.028, G:0.062, G#:0.054, A:0.218, A#:0.060, B:0.047"
1419,"C:0.039, C#:0.055, D:0.232, D#:0.115, E:0.190, F:0.059, F#:0.026, G:0.013, G#:0.033, A:0.078, A#:0.038, B:0.122"
1420,"C:0.045, C#:0.019, D:0.088, D#:0.078, E:0.218, F:0.029, F#:0.051, G:0.103, G#:0.047, A:0.041, A#:0.081, B:0.199"
1450,"C:0.101, C#:0.053, D:0.076, D#:0.058, E:0.060, F:0.113, F#:0.058, G:0.092, G#:0.068, A:0.075, A#:0.172, B:0.075"
1451,"C:0.053, C#:0.080, D:0.102, D#:0.085, E:0.089, F:0.047, F#:0.062, G:0.076, G#:0.132, A:0.197, A#:0.042, B:0.035"
1474,"C:0.041, C#:0.064, D:0.085, D#:0.037, E:0.087, F:0.078, F#:0.155, G:0.135, G#:0.070, A:0.076, A#:0.069, B:0.103"
1475,"C:0.067, C#:0.027, D:0.126, D#:0.214, E:0.028, F:0.081, F#:0.041, G:0.074, G#:0.074, A:0.096, A#:0.131, B:0.042"
1476,"C:0.050, C#:0.072, D:0.171, D#:0.068, E:0.027, F:0.039, F#:0.057, G:0.237, G#:0.087, A:0.062, A#:0.076, B:0.055"
1499,"C:0.131, C#:0.040, D:0.082, D#:0.038, E:0.107, F:0.099, F#:0.045, G:0.177, G#:0.053, A:0.103, A#:0.034, B:0.091"
1526,"C:0.068, C#:0.071, D:0.036, D#:0.039, E:0.030, F:0.067, F#:0.065, G:0.069, G#:0.154, A:0.142, A#:0.174, B:0.084"
1529,"C:0.082, C#:0.185, D:0.052, D#:0.051, E:0.055, F:0.026, F#:0.021, G:0.041, G#:0.146, A:0.156, A#:0.109, B:0.077"
1530,"C:0.051, C#:0.072, D:0.127, D#:0.049, E:0.086, F:0.033, F#:0.049, G:0.072, G#:0.133, A:0.138, A#:0.075, B:0.116"
1531,"C:0.026, C#:0.043, D:0.064, D#:0.157, E:0.081, F:0.093, F#:0.254, G:0.092, G#:0.064, A:0.036, A#:0.060, B:0.029"
1534,"C:0.166, C#:0.046, D:0.066, D#:0.041, E:0.157, F:0.036, F#:0.068, G:0.146, G#:0.031, A:0.022, A#:0.042, B:0.180"
1535,"C:0.139, C#:0.085, D:0.082, D#:0.059, E:0.037, F:0.035, F#:0.057, G:0.134, G#:0.065, A:0.071, A#:0.118, B:0.118"
1536,"C:0.139, C#:0.083, D:0.032, D#:0.055, E:0.129, F:0.069, F#:0.127, G:0.081, G#:0.035, A:0.083, A#:0.054, B:0.112"
1540,"C:0.042, C#:0.075, D:0.087, D#:0.046, E:0.162, F:0.112, F#:0.114, G:0.097, G#:0.049, A:0.098, A#:0.040, B:0.079"
1541,"C:0.038, C#:0.187, D:0.121, D#:0.092, E:0.131, F:0.024, F#:0.109, G:0.029, G#:0.075, A:0.040, A#:0.030, B:0.124"
1542,"C:0.045, C#:0.025, D:0.056, D#:0.064, E:0.209, F:0.148, F#:0.047, G:0.089, G#:0.055, A:0.137, A#:0.042, B:0.083"
1546,"C:0.030, C#:0.089, D:0.075, D#:0.047, E:0.185, F:0.046, F#:0.045, G:0.040, G#:0.087, A:0.172, A#:0.044, B:0.140"
1590,"C:0.085, C#:0.094, D:0.137, D#:0.078, E:0.078, F:0.049, F#:0.073, G:0.077, G#:0.070, A:0.103, A#:0.065, B:0.091"
1592,"C:0.067, C#:0.111, D:0.340, D#:0.063, E:0.042, F:0.128, F#:0.040, G:0.035, G#:0.023, A:0.110, A#:0.020, B:0.022"
1593,"C:0.125, C#:0.215, D:0.086, D#:0.038, E:0.036, F:0.034, F#:0.056, G:0.034, G#:0.065, A:0.058, A#:0.072, B:0.181"
1595,"C:0.156, C#:0.048, D:0.026, D#:0.036, E:0.066, F:0.048, F#:0.072, G:0.044, G#:0.035, A:0.109, A#:0.105, B:0.255"
1596,"C:0.071, C#:0.075, D:0.106, D#:0.065, E:0.079, F:0.093, F#:0.121, G:0.118, G#:0.053, A:0.038, A#:0.058, B:0.123"
1599,"C:0.029, C#:0.042, D:0.059, D#:0.106, E:0.298, F:0.126, F#:0.035, G:0.027, G#:0.055, A:0.124, A#:0.053, B:0.047"
1601,"C:0.059, C#:0.256, D:0.072, D#:0.030, E:0.020, F:0.023, F#:0.024, G:0.053, G#:0.216, A:0.160, A#:0.042, B:0.044"
1603,"C:0.049, C#:0.045, D:0.100, D#:0.154, E:0.056, F:0.043, F#:0.078, G:0.084, G#:0.049, A:0.102, A#:0.137, B:0.103"
1604,"C:0.060, C#:0.050, D:0.069, D#:0.100, E:0.133, F:0.114, F#:0.070, G:0.070, G#:0.055, A:0.061, A#:0.078, B:0.140"
1605,"C:0.136, C#:0.074, D:0.133, D#:0.091, E:0.149, F:0.056, F#:0.056, G:0.099, G#:0.048, A:0.058, A#:0.033, B:0.067"
1610,"C:0.045, C#:0.104, D:0.105, D#:0.107, E:0.185, F:0.123, F#:0.115, G:0.085, G#:0.043, A:0.034, A#:0.019, B:0.035"
1611,"C:0.108, C#:0.062, D:0.076, D#:0.082, E:0.155, F:0.098, F#:0.079, G:0.088, G#:0.052, A:0.056, A#:0.048, B:0.095"
1612,"C:0.024, C#:0.031, D:0.034, D#:0.073, E:0.267, F:0.071, F#:0.050, G:0.036, G#:0.075, A:0.160, A#:0.056, B:0.123"
1614,"C:0.033, C#:0.100, D:0.460, D#:0.094, E:0.046, F:0.021, F#:0.074, G:0.067, G#:0.013, A:0.058, A#:0.018, B:0.018"
1615,"C:0.230, C#:0.100, D:0.048, D#:0.034, E:0.075, F:0.051, F#:0.030, G:0.065, G#:0.070, A:0.122, A#:0.068, B:0.107"
1616,"C:0.106, C#:0.161, D:0.161, D#:0.081, E:0.067, F:0.056, F#:0.045, G:0.057, G#:0.058, A:0.089, A#:0.068, B:0.052"
1617,"C:0.057, C#:0.124, D:0.146, D#:0.084, E:0.067, F:0.040, F#:0.030, G:0.042, G#:0.081, A:0.179, A#:0.096, B:0.054"
1618,"C:0.140, C#:0.076, D:0.066, D#:0.064, E:0.113, F:0.098, F#:0.071, G:0.095, G#:0.070, A:0.066, A#:0.055, B:0.087"
1619,"C:0.079, C#:0.072, D:0.099, D#:0.087, E:0.090, F:0.046, F#:0.027, G:0.036, G#:0.075, A:0.194, A#:0.132, B:0.061"
1643,"C:0.049, C#:0.050, D:0.071, D#:0.152, E:0.081, F:0.052, F#:0.076, G:0.055, G#:0.073, A:0.066, A#:0.145, B:0.127"
1708,"C:0.073, C#:0.052, D:0.082, D#:0.040, E:0.053, F:0.032, F#:0.078, G:0.092, G#:0.058, A:0.109, A#:0.078, B:0.253"
1727,"C:0.029, C#:0.115, D:0.264, D#:0.054, E:0.028, F:0.025, F#:0.014, G:0.017, G#:0.054, A:0.314, A#:0.065, B:0.023"
1841,"C:0.039, C#:0.089, D:0.056, D#:0.185, E:0.050, F:0.047, F#:0.070, G:0.043, G#:0.331, A:0.035, A#:0.038, B:0.018"
1844,"C:0.142, C#:0.047, D:0.071, D#:0.067, E:0.079, F:0.060, F#:0.037, G:0.198, G#:0.096, A:0.045, A#:0.065, B:0.092"
1886,"C:0.076, C#:0.045, D:0.032, D#:0.065, E:0.112, F:0.050, F#:0.077, G:0.045, G#:0.051, A:0.108, A#:0.118, B:0.222"
1887,"C:0.126, C#:0.040, D:0.055, D#:0.044, E:0.125, F:0.119, F#:0.100, G:0.183, G#:0.045, A:0.034, A#:0.037, B:0.091"
1892,"C:0.014, C#:0.025, D:0.066, D#:0.081, E:0.185, F:0.040, F#:0.090, G:0.120, G#:0.076, A:0.168, A#:0.053, B:0.082"
1893,"C:0.117, C#:0.086, D:0.251, D#:0.116, E:0.046, F:0.033, F#:0.036, G:0.112, G#:0.048, A:0.051, A#:0.041, B:0.062"
1894,"C:0.140, C#:0.071, D:0.117, D#:0.069, E:0.087, F:0.077, F#:0.036, G:0.117, G#:0.062, A:0.086, A#:0.063, B:0.074"
1895,"C:0.031, C#:0.015, D:0.031, D#:0.033, E:0.231, F:0.112, F#:0.033, G:0.070, G#:0.048, A:0.225, A#:0.104, B:0.067"
1896,"C:0.031, C#:0.175, D:0.098, D#:0.106, E:0.036, F:0.032, F#:0.078, G:0.042, G#:0.242, A:0.102, A#:0.036, B:0.023"
1898,"C:0.178, C#:0.076, D:0.051, D#:0.028, E:0.018, F:0.022, F#:0.046, G:0.140, G#:0.076, A:0.106, A#:0.142, B:0.118"
1899,"C:0.084, C#:0.045, D:0.075, D#:0.056, E:0.105, F:0.054, F#:0.046, G:0.063, G#:0.081, A:0.193, A#:0.074, B:0.126"
1900,"C:0.038, C#:0.062, D:0.212, D#:0.068, E:0.066, F:0.025, F#:0.024, G:0.053, G#:0.082, A:0.251, A#:0.070, B:0.049"
1901,"C:0.336, C#:0.061, D:0.052, D#:0.018, E:0.041, F:0.014, F#:0.035, G:0.206, G#:0.029, A:0.022, A#:0.029, B:0.158"
1913,"C:0.016, C#:0.063, D:0.143, D#:0.037, E:0.083, F:0.025, F#:0.075, G:0.102, G#:0.075, A:0.317, A#:0.033, B:0.032"
1914,"C:0.207, C#:0.054, D:0.102, D#:0.036, E:0.076, F:0.189, F#:0.091, G:0.117, G#:0.032, A:0.032, A#:0.019, B:0.044"
1920,"C:0.142, C#:0.032, D:0.131, D#:0.020, E:0.058, F:0.020, F#:0.035, G:0.194, G#:0.060, A:0.145, A#:0.065, B:0.099"
1923,"C:0.092, C#:0.065, D:0.257, D#:0.044, E:0.044, F:0.021, F#:0.063, G:0.181, G#:0.042, A:0.090, A#:0.025, B:0.075"
1940,"C:0.024, C#:0.024, D:0.044, D#:0.061, E:0.101, F:0.084, F#:0.095, G:0.199, G#:0.188, A:0.105, A#:0.039, B:0.036"
